"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"1055237234809430016","","","2018-10-24 23:18:56 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Why You Can’t Do All of Your Data Engineering with SQL https://t.co/N3i8mWs6xB via @jessetanderson","","","","http://www.jesse-anderson.com/2018/10/why-you-cant-do-all-of-your-data-engineering-with-sql/"
"1055133775263236096","","","2018-10-24 16:27:50 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @jeffmagnusson: Excited to be a part of the latest Secrets of Data Analytics Leaders podcast, talking about the @stitchfix_algo platform…","971495973531934720","286546146","2018-03-07 21:21:04 +0000","https://soundcloud.com/eckerson-group/jeff-magnusson-how-to-create-a-self-service-data-platform-for-data-scientists"
"1054373821384294400","","","2018-10-22 14:08:02 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @dataengconf: “A Typical Data Engineering Project"" — Sharing From Netflix Data Engineering Team. https://t.co/CQdnaaCY9O","1054373331191951361","3839462654","2018-10-22 14:06:06 +0000","https://dataeng.co/2QLdgqX,https://dataeng.co/2QLdgqX"
"1054316475719147520","","","2018-10-22 10:20:10 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","On complexity in big data - O'Reilly Media https://t.co/g7vOcd5mW6","","","","https://www.oreilly.com/learning/on-complexity-in-big-data"
"1054161841604050944","","","2018-10-22 00:05:43 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Airflow 101: Start automating your batch workflows with ease by Sriram Baskaran https://t.co/Glj9l824ND","","","","https://blog.insightdatascience.com/airflow-101-start-automating-your-batch-workflows-with-ease-8e7d35387f94"
"1053991832764334082","","","2018-10-21 12:50:09 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @KaiWaehner: #Pinterest processes over 800 Billion events per day with #Kafka ... Over 1 Petabyte of data... That is #bigdata!  #KafkaSu…","1052614390690865152","207673942","2018-10-17 17:36:42 +0000","https://twitter.com/KaiWaehner/status/1052614390690865152/photo/1"
"1053991761129824258","","","2018-10-21 12:49:52 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @jessetanderson: After years of teaching Big Data, I've come up with the best explanation of why it isn't easy, cheap, or quick. https:/…","770652461409374208","361013072","2016-08-30 16:00:39 +0000","http://ow.ly/QPUv303IZCK"
"1053981423814639618","","","2018-10-21 12:08:48 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Creating a Data Engineering Culture | DataEngConf BCN '18 https://t.co/NijsexIYoO","","","","https://youtu.be/VkeleGIUSM8"
"1052695840161026050","","","2018-10-17 23:00:21 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @CasertaData: Why you need @ApacheAirflow, #Spark, and Notebooks in your #ETL #code. https://t.co/tc5K3mvQdQ

#BigData #Technology","1052194372614270976","386624183","2018-10-16 13:47:41 +0000","http://bit.ly/2RIWnyx,http://bit.ly/2RIWnyx"
"1052695765548584960","","","2018-10-17 23:00:03 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DataEngPodcast: Now you can find me on Spotify! 
https://t.co/ZhHB70WPXc","1052693905634979840","809587059061125120","2018-10-17 22:52:39 +0000","https://open.spotify.com/show/2iLvljRGVVIGlJshT5vNDS?si=sMoBwPn2THGOrglngl9gxQ,https://open.spotify.com/show/2iLvljRGVVIGlJshT5vNDS?si=sMoBwPn2THGOrglngl9gxQ"
"1051981304537858048","","","2018-10-15 23:41:02 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @astronomerio: Looking for some light reading to do over the weekend? Check out our new guide on how @ApacheAirflow differs from @Spotif…","1050834808773992449","3292998083","2018-10-12 19:45:16 +0000","https://www.astronomer.io/guides/airflow-vs-luigi/"
"1051807313021956098","","","2018-10-15 12:09:39 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @dataengconf: Is there such a thing as Positive and Negative Data Engineering? Yes according to Jeremiah Lowin who build the #Perfect fr…","1051806744509378561","3839462654","2018-10-15 12:07:24 +0000","https://dataeng.co/2QNhYVs"
"1051374151640829952","","","2018-10-14 07:28:25 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Supercharging your ETL with Airflow and Singer - https://t.co/uiodzDYjQL","","","","https://www.stitchdata.com/blog/supercharging-etl-with-airflow-and-singer/"
"1051295023138975744","","","2018-10-14 02:14:00 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Customising Airflow: Beyond Boilerplate Settings - https://t.co/AGrHmqfN0X","","","","http://tech.marksblogg.com/install-and-configure-apache-airflow.html"
"1051090483965906950","","","2018-10-13 12:41:14 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Introduction to Apache Kafka (lightning talk) by Joe Stein - https://t.co/OLxzA4yZ9s","","","","https://www.hakkalabs.co/articles/apache-kafka"
"1050562665557385216","","","2018-10-12 01:43:52 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","How to Ensure that Your ETL Pipelines Deliver High Quality Data | DataEn... https://t.co/yyF2lfjkEj via @YouTube","","","","https://youtu.be/un-EWo_igdI"
